Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/humhub/index.php?r=content/content/create,11525,11525,19,85.17421453361565,0.9142000053543597,1299.1117839992512,0.0,94.53147965691436,94.53147965691436,19,38,63,88,250,440,830,1100,1300,1300,1300
POST,/humhub/index.php?r=content/content/edit&id=123,11769,11769,19,83.88803486925092,0.8971999995992519,1298.4700840024743,0.0,96.53284026743817,96.53284026743817,19,37,62,90,250,430,780,1000,1200,1300,1300
GET,/humhub/index.php?r=dashboard/dashboard/index,11665,11665,18,84.29385257145056,0.8522999996785074,1313.8697829999728,0.0,95.67980131869032,95.67980131869032,18,38,63,88,240,430,820,1000,1300,1300,1300
POST,/humhub/index.php?r=user/auth/login,1000,1000,30,67.3301560309992,7.789399998728186,1569.1760600020643,0.0,8.202297584114044,8.202297584114044,30,38,51,59,100,210,700,860,1600,1600,1600
,Aggregated,35959,35959,19,83.97144111774776,0.8522999996785074,1569.1760600020643,0.0,294.9464188271569,294.9464188271569,19,38,63,87,240,430,810,1000,1300,1500,1600
